id,numRecord,codeType,coder,comment,occurred,typeRequestor,typeSolicitud,typeDerivacion,typeOffer,saludoProt,preguntaPolPub,quejaMuni,tags (skip),Sys.time()
2010,225,2,Richard,,1,individuo,"empleo, patente/permiso/autorización",OMIL (Información laboral,,0,0,0,,2022-08-22 20:57:07
2386,226,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 20:57:20
6289,227,2,Richard,,1,organización,,,información,0,0,0,,2022-08-22 20:57:36
512,228,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 20:57:44
419,229,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 20:57:52
10519,230,2,Richard,,1,organización,,,información,1,0,0,,2022-08-22 20:58:13
4060,231,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 20:58:25
2862,232,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 20:58:45
1995,233,2,Richard,,1,individuo,transporte,DAEM (educación municipal),,0,0,0,,2022-08-22 20:59:07
14995,234,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 20:59:14
4744,235,2,Richard,,1,organización,patente/permiso/autorización,,,0,0,0,,2022-08-22 20:59:35
3660,236,2,Richard,,1,individuo,subvención,,proyecto,0,0,0,,2022-08-22 21:04:27
9680,237,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 21:49:04
12555,238,2,Richard,,1,individuo,patente/permiso/autorización,,,0,0,0,,2022-08-22 21:49:17
15135,239,2,Richard,,1,empresa,presencia autoridad política,,,0,0,0,,2022-08-22 21:50:25
11325,240,2,Richard,,1,individuo,transporte,,,0,0,0,,2022-08-22 21:50:35
584,241,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 21:50:42
4477,242,2,Richard,,0,empresa,,,,0,0,0,,2022-08-22 21:50:55
13674,243,2,Richard,,1,individuo,"intercesión, infraestructura urbana/rural",,información,0,0,0,,2022-08-22 21:53:33
14707,244,2,Richard,,1,individuo,infraestructura urbana/rural,,,0,0,0,,2022-08-22 21:53:55
12404,245,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 21:54:03
5649,246,2,Richard,,1,organización,no especificado,,,0,0,0,,2022-08-22 21:54:24
8998,247,2,Richard,,1,individuo,patente/permiso/autorización,,,0,0,0,,2022-08-22 21:54:54
11953,248,2,Richard,,1,individuo,patente/permiso/autorización,,,0,0,0,,2022-08-22 21:55:03
12617,249,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 21:55:11
5497,250,2,Richard,,1,organización,,,agradecimientos,0,0,0,,2022-08-22 21:55:33
12978,251,2,Richard,,1,,,,,0,0,0,?,2022-08-22 21:56:42
3704,252,2,Richard,,1,organización,información,,"información, proyecto",0,0,0,,2022-08-22 21:57:53
7467,253,2,Richard,,1,individuo,empleo,,,0,0,0,,2022-08-22 21:58:02
8715,254,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 21:58:10
9536,255,2,Richard,,1,individuo,patente/permiso/autorización,,,0,0,0,,2022-08-22 21:58:21
2539,256,2,Richard,,1,organización,,,"proyecto, bien/servicio",0,0,0,,2022-08-22 21:59:26
12271,257,2,Richard,,1,individuo,ayuda social/económica,,,0,0,0,,2022-08-22 21:59:42
14644,258,2,Richard,,1,individuo,infraestructura urbana/rural,,,0,0,0,,2022-08-22 22:00:11
5929,259,2,Richard,,1,individuo,patente/permiso/autorización,,,0,0,0,,2022-08-22 22:00:44
10141,260,2,Richard,,1,organización,"asistencia legal, infraestructura urbana/rural",,,0,0,0,,2022-08-22 22:04:26
10887,261,2,Richard,,1,individuo,,,,0,0,0,,2022-08-22 22:05:00
